tweet_id,sentiment
1214005466675777536,neutral
1213261378397409280,mixed
1213846984349626369,neutral
1216365312561635333,positive
1213234381768265728,neutral
1213881132057595907,negative
1216554363960819713,positive
1213946002408923136,neutral
1217497326471786497,negative
1214724166915706883,neutral
1222926456197656576,mixed
1213862029552947201,negative
1214038581372686337,negative
1214137763299307520,neutral
1213966049433001985,negative
1214111112783912960,neutral
1213832799008022529,mixed
1213752024090722304,neutral
1213764826998202368,negative
1213287577572302849,positive
1213291084333252610,mixed
1213765640588271616,neutral
1216781688728182784,positive
1214066211761332224,positive
1212964111656587264,neutral
1223097802579943424,negative
1214012819626086400,neutral
1214786765619372032,negative
1216219257861746688,mixed
1217426329383186432,positive
1212277455962214406,mixed
1222905477517852675,neutral
1213145761996656642,neutral
1216449972276731910,neutral
1215900897198444544,neutral
1216319234399182849,neutral
1214768937696735232,mixed
1223089878935777280,negative
1217363919892860934,negative
1214776164943876096,neutral
1213215738791636998,negative
1213237434621812737,negative
1216811487592882178,neutral
1217476976954359808,positive
1213996792309792768,neutral
1214804495328317440,negative
1214214794183675904,negative
1214859309684842496,neutral
1216868694200111104,negative
1213915195820716036,negative
1214819042244091914,neutral
1213894544439365632,positive
1213259629997805568,positive
1213864137589166083,negative
1214066596450312192,neutral
1213868824057012224,negative
1214239657770307585,negative
1212974926929506304,negative
1213890556482457605,neutral
1214229362226221056,positive
1216794220268281856,neutral
1214066344783683585,negative
1213744035917107200,neutral
1214055143265722368,negative
1213292556970123265,neutral
1214905630638526465,negative
1214247899384745985,neutral
1217392531736055808,positive
1214869160754237443,negative
1217344349907767296,neutral
1214231668522987520,neutral
1215058034403225600,mixed
1216206505688666113,negative
1214236293468692480,negative
1213890627810811905,negative
1201467935413415937,neutral
1213921820245712896,neutral
1213246554951151616,negative
1216281322802511873,negative
1216586549992681472,mixed
1213916439071072256,neutral
1214197322852306944,neutral
1222932932295303169,neutral
1217452683994566658,negative
1215967982641471488,positive
1214753882842243074,neutral
1214137142064156672,neutral
1214036476029222913,positive
1216873642983743488,negative
1213866455021867013,neutral
1213895052851916800,neutral
1216070505922551809,mixed
1214080958477033474,negative
1213289303222050817,negative
1217366705724428288,neutral
1214680600453566464,mixed
1214065440990912513,negative
1214842556506427392,neutral
1213884192590839808,positive
1216734588564922368,positive