tweet_id,Label
1546537057857716224,neutral
1546513002769399809,neutral
1546518518560178177,positive
1544788340876218370,negative
1546528419650932736,positive
1546492454819471361,neutral
1546465097085816832,negative
1546563062148333570,negative
1546555168598138880,neutral
1546554310850498561,neutral
1546552724463951873,positive
1546551339425173504,neutral
1546469361510121475,negative
1544791055090040832,negative
1546470108654092288,negative
1546477320474615812,positive
1544819595227316225,negative
1546493996465364992,negative
1546527858662817793,positive
1546176525082529793,negative
1545899282062082049,positive
1545514728608485379,positive
1545454175349252096,neutral
1546551040362815491,negative
1544377299050668034,negative
1546545260880338945,positive
1546563769878315009,neutral
1544790644727730177,negative
1545829734478643200,positive
1546286315158872064,neutral
1546253343441489928,neutral
1546548029284651010,neutral
1546099455136522245,negative
1546243804671492098,positive
1546560781172473856,positive
1546502971793543169,neutral
1546550575919161347,neutral
1546429634467827712,neutral
1546533997269995526,negative
1546558803998646273,positive
1544242266339942400,positive
1546567272986288128,negative
1546567140559429632,negative
1546565487559049216,negative
1546564376706121728,neutral
1546532849427578880,negative
1545983441656614912,positive
1546208285598093312,negative
1546281538987360257,positive
1546563680246153218,neutral
1546545590041038850,neutral
1546535760911810561,negative
1546560032233455616,neutral